Country,SpatialDim,TimeDim,NumericValue,Low,High,Value
France,FRA,2018,4.21171,3.12273,5.52427,4.2 [3.1-5.5]
France,FRA,2019,5.86355,4.85396,7.01111,5.9 [4.9-7.0]
France,FRA,1990,6.05212,4.00588,8.60035,6.1 [4.0-8.6]
France,FRA,2004,5.3298,3.91378,7.04131,5.3 [3.9-7.0]
France,FRA,1995,8.11868,5.56953,11.26454,8.1 [5.6-11.3]
France,FRA,1996,8.36925,5.85677,11.3995,8.4 [5.9-11.4]
France,FRA,2008,6.42974,5.38205,7.64214,6.4 [5.4-7.6]
France,FRA,2014,4.22147,3.2928,5.32675,4.2 [3.3-5.3]
France,FRA,2014,5.70953,4.9117,6.60668,5.7 [4.9-6.6]
France,FRA,2021,3.18234,2.0617,4.63129,3.2 [2.1-4.6]
France,FRA,2001,5.26644,3.75699,7.05963,5.3 [3.8-7.1]
France,FRA,2016,6.45129,5.51833,7.46826,6.5 [5.5-7.5]
France,FRA,2003,9.46746,7.15301,12.18951,9.5 [7.2-12.2]
France,FRA,2017,8.34219,6.80722,10.01049,8.3 [6.8-10.0]
France,FRA,2022,5.3598,3.98772,6.98096,5.4 [4.0-7.0]
France,FRA,1992,4.57415,2.65505,7.11045,4.6 [2.7-7.1]
France,FRA,2022,3.06815,1.83277,4.69752,3.1 [1.8-4.7]
France,FRA,2000,7.32084,5.37212,9.65552,7.3 [5.4-9.7]
France,FRA,2012,6.00823,5.10668,7.0064,6.0 [5.1-7.0]
France,FRA,2004,6.47657,5.29929,7.84914,6.5 [5.3-7.8]
France,FRA,2010,6.2574,5.27202,7.35777,6.3 [5.3-7.4]
France,FRA,1995,6.05588,3.92781,8.71562,6.1 [3.9-8.7]
France,FRA,1998,6.26081,4.31246,8.60511,6.3 [4.3-8.6]
France,FRA,2008,6.1366,4.66487,7.89599,6.1 [4.7-7.9]
France,FRA,2017,6.83949,5.58223,8.20346,6.8 [5.6-8.2]
France,FRA,2002,9.38136,7.00315,12.15735,9.4 [7.0-12.2]
France,FRA,2003,7.66436,5.77249,9.90859,7.7 [5.8-9.9]
France,FRA,1993,7.56397,4.86751,11.04,7.6 [4.9-11.0]
France,FRA,2004,7.86352,6.43949,9.51334,7.9 [6.4-9.5]
France,FRA,2005,9.60607,7.36271,12.1841,9.6 [7.4-12.2]
France,FRA,2004,7.7373,5.85843,9.93742,7.7 [5.9-9.9]
France,FRA,2020,7.70365,5.82708,9.87518,7.7 [5.8-9.9]
France,FRA,1995,6.42363,4.37117,8.93904,6.4 [4.4-8.9]
France,FRA,2005,7.88431,6.49463,9.4754,7.9 [6.5-9.5]
France,FRA,2017,4.39239,3.34541,5.66345,4.4 [3.3-5.7]
France,FRA,2014,4.9827,3.89552,6.29088,5.0 [3.9-6.3]
France,FRA,1999,6.1363,4.81411,7.59668,6.1 [4.8-7.6]
France,FRA,1993,5.27786,3.82257,7.01979,5.3 [3.8-7.0]
France,FRA,1999,7.17977,5.2045,9.5285,7.2 [5.2-9.5]
France,FRA,2012,7.58937,6.17318,9.17996,7.6 [6.2-9.2]
France,FRA,2011,6.14059,5.204,7.1927,6.1 [5.2-7.2]
France,FRA,2013,5.86117,5.01984,6.8076,5.9 [5.0-6.8]
France,FRA,1993,4.68672,2.844,7.07661,4.7 [2.8-7.1]
France,FRA,2005,6.36046,4.71668,8.29798,6.4 [4.7-8.3]
France,FRA,2001,6.36009,4.55882,8.50789,6.4 [4.6-8.5]
France,FRA,2018,6.05015,5.08515,7.10234,6.1 [5.1-7.1]
France,FRA,2021,4.59655,3.56249,5.80103,4.6 [3.6-5.8]
France,FRA,2015,5.55179,4.77563,6.42027,5.6 [4.8-6.4]
France,FRA,1990,4.74889,3.11306,6.78756,4.7 [3.1-6.8]
France,FRA,2002,6.38084,4.60284,8.47844,6.4 [4.6-8.5]
France,FRA,2001,7.72722,6.18717,9.4589,7.7 [6.2-9.5]
France,FRA,2015,8.76061,7.19288,10.45663,8.8 [7.2-10.5]
France,FRA,2020,3.30799,2.27138,4.60347,3.3 [2.3-4.6]
France,FRA,1994,4.79826,3.01783,7.1117,4.8 [3.0-7.1]
France,FRA,2020,3.88844,2.66563,5.41605,3.9 [2.7-5.4]
France,FRA,2000,6.22488,4.93225,7.67629,6.2 [4.9-7.7]
France,FRA,2016,8.55704,7.02121,10.22785,8.6 [7.0-10.2]
France,FRA,2016,4.58007,3.54764,5.83644,4.6 [3.5-5.8]
France,FRA,2010,4.89302,3.74731,6.28566,4.9 [3.7-6.3]
France,FRA,2013,7.47349,6.10267,8.9684,7.5 [6.1-9.0]
France,FRA,1990,6.68892,3.8289,10.84005,6.7 [3.8-10.8]
France,FRA,2015,4.77634,3.72651,6.04801,4.8 [3.7-6.0]
France,FRA,2001,9.26914,6.89633,12.0831,9.3 [6.9-12.1]
France,FRA,1996,4.99511,3.30918,7.05131,5.0 [3.3-7.1]
France,FRA,2014,7.34549,6.01622,8.78681,7.3 [6.0-8.8]
France,FRA,2019,6.48369,5.06781,8.0575,6.5 [5.1-8.1]
France,FRA,2007,7.84911,6.54389,9.36256,7.8 [6.5-9.4]
France,FRA,2010,7.55793,6.37273,8.87533,7.6 [6.4-8.9]
France,FRA,2022,7.32966,4.97377,10.09645,7.3 [5.0-10.1]
France,FRA,2020,6.31475,4.77141,8.08906,6.3 [4.8-8.1]
France,FRA,2003,5.3247,3.87573,7.06359,5.3 [3.9-7.1]
France,FRA,2007,9.65971,7.55043,12.15378,9.7 [7.6-12.2]
France,FRA,1996,5.78409,4.42223,7.34363,5.8 [4.4-7.3]
France,FRA,2002,7.79059,6.26913,9.48708,7.8 [6.3-9.5]
France,FRA,2018,5.04604,4.23674,5.92332,5.0 [4.2-5.9]
France,FRA,2022,5.99091,4.062,8.2711,6.0 [4.1-8.3]
France,FRA,2012,7.2208,6.13635,8.4026,7.2 [6.1-8.4]
France,FRA,2007,6.47469,5.38717,7.73805,6.5 [5.4-7.7]
France,FRA,1999,7.56459,5.96593,9.34336,7.6 [6.0-9.3]
France,FRA,2012,5.40654,4.21755,6.86028,5.4 [4.2-6.9]
France,FRA,2011,4.73809,3.66414,6.04314,4.7 [3.7-6.0]
France,FRA,2010,9.51317,7.61724,11.71254,9.5 [7.6-11.7]
France,FRA,2000,6.3335,4.49414,8.55324,6.3 [4.5-8.6]
France,FRA,1993,5.9249,3.77985,8.69312,5.9 [3.8-8.7]
France,FRA,2018,6.65757,5.33232,8.10049,6.7 [5.3-8.1]
France,FRA,1998,5.13291,3.51646,7.08956,5.1 [3.5-7.1]
France,FRA,1997,5.07189,3.43003,7.08042,5.1 [3.4-7.1]
France,FRA,2013,9.10628,7.44217,10.92274,9.1 [7.4-10.9]
France,FRA,2018,3.57865,2.65179,4.68745,3.6 [2.7-4.7]
France,FRA,1998,7.02769,5.03467,9.38351,7.0 [5.0-9.4]
France,FRA,1999,5.18239,3.61558,7.07387,5.2 [3.6-7.1]
France,FRA,1992,5.7401,3.34136,8.85582,5.7 [3.3-8.9]
